sno	Question1	Question2	Question3	Question4	Question5	Question6	Question7	Question8	Question9	Question10	Question11	Question12	Question13	Question14	Question15
61	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Air-conditioned environments (वातानुकूलित वातावरण),Poor diet (खराब आहार),Contact lens use (चश्मा लगाना)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/d6e45b5e-56ca-440d-b66e-8f05ff0e9e4c-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/d5fe699a-7211-4322-b8a1-67e35c8a5aa5-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	6	Yes 	Daily (प्रतिदिन)	Yes (हाँ)
62	Any other (कोई और)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	A few times a month (महीने में कुछ बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/16fa0e07-2653-47a1-8db8-678dce295c75-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/242c2527-35eb-4900-a07e-b5db561df42d-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	7	Never 	Never (कभी नहीं)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
63	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	3rd Tier city (कस्बा)	Dry, irritated eyes (सुखी या आंख में जलन होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/7e22934a-bbac-49bd-9326-276c4cebc9b8-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/4b697840-8fd2-4e20-8fff-6782048055db-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	8	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
64	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/78eec44c-53b9-4ad4-9b0c-a3576c70f1a1-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/8677f141-856f-48fc-8993-634c1142912e-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	8	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
65	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/a4053fbe-4384-4450-8341-244ee39ab029-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/5e4b27d0-9969-4770-8ca7-adef2e26630b-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	8	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
66	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/bd2b1d13-18f3-4b86-81fc-ca79bf4e43ba-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/771b63e3-7218-4db6-a042-188d36bb845c-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	8	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
67	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/4935fc08-1b86-408d-baab-b8aeba77efff-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/ab53898a-171c-4d7a-bb10-f3c2cd92002d-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	8	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
68	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	3rd Tier city (कस्बा)	Never (कभी नहीं)	Rarely (शायद ही कभी)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/2c810405-04d3-4449-a296-bf623624a42c-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/e7484e31-0d95-41e9-9f0e-e7f422d4ab88-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Never (कभी नहीं)	No (नहीं)
69	Any other (कोई और)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना),Blurred vision (धुंधला दिखना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/6ba758ff-0f42-467a-a2ae-72a7b41a8d28-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/28bfbc91-8f44-4784-92c0-1fa468578f12-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप)	8	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
70	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),Sensitivity to light (प्रकाश में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Contact lens use (चश्मा लगाना)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/fd140f86-467f-4293-8c5c-473d5bcc9110-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/97b6d748-d9d5-41be-9537-7223868dcebd-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	8	Never 	A few times a month (महीने में कुछ बार)	No (नहीं)
71	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Blurred vision (धुंधला दिखना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/96261156-f0eb-402a-b2b0-514de0da708d-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/0525499c-03c4-4590-8f6f-2e77125a9831-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	7	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
72	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Never (कभी नहीं)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/c6cba3b6-98fe-4261-95fa-e0890b8a6d52-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/e1bbfb62-181e-49c7-be79-977df2fe98e4-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Over-the-counter(OTC) eye drops (आई ड्रॉप),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	5	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
73	Any other (कोई और)	3rd Tier city (कस्बा)	Never (कभी नहीं)	Rarely (शायद ही कभी)	None of the above (इनमें से कोई नहीं)	I don't know (मुझें नहीं पता),Air-conditioned environments (वातानुकूलित वातावरण)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/237498e7-ca6e-413d-919d-42ad850d8c0d-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/a5533acc-753b-40a4-ab76-8e3e26032116-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	7	Never 	Never (कभी नहीं)	No (नहीं)
74	Any other (कोई और)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	Air pollution (वायु प्रदूषण)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/7a1bcd30-fbbb-4618-ae12-764bdf2fbe6a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/26331275-f449-4334-975d-15373a44ff41-AUDIO.m4a	Other (अन्य)	5	Never 	Rarely (शायद ही कभी)	No (नहीं)
75	Any other (कोई और)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/21619db9-0525-4610-86e9-58fc514b8a44-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/48e19d49-8135-4947-8487-5e7a336355b0-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Never (कभी नहीं)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
76	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Rarely (शायद ही कभी)	None of the above (इनमें से कोई नहीं)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	36-45	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/947bfffe-3c22-4645-a708-e116d9bb0631-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/b40f01d3-01fd-4a78-ab6e-4e472cc90cb8-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	1	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
77	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Aging (उम्र बढ़ना)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/5badb5fb-6b0a-4426-b92c-47336469ebec-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/125a60df-9570-4c89-a6b7-cc0e7f48a458-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	6	Never 	A few times a month (महीने में कुछ बार)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
78	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/a414eab3-2bf3-46c2-95ed-cb7e3fe8865e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/67e5c2fa-9ad5-48bc-9bc2-ce5d14833737-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	1	Never 	Rarely (शायद ही कभी)	No (नहीं)
79	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	26-35	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/9406fad6-fdb6-4465-9585-8684dd6331d9-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/8ae68a41-617a-4c4b-9a52-ccde49ee7458-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	1	Never 	Rarely (शायद ही कभी)	No (नहीं)
80	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	26-35	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/57f3e0f7-2fbb-413a-a958-5ca354a4f1fe-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/91b2daca-eeca-4924-8178-b2bccb1c0061-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	1	Never 	Rarely (शायद ही कभी)	No (नहीं)
81	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	26-35	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/72c6b052-73ad-4c41-9061-23eecffa5a57-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/359866ef-c104-4117-a82b-713572719780-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	1	Never 	Rarely (शायद ही कभी)	No (नहीं)
82	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	26-35	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/85563fc5-f1a1-4bdb-9ee4-b6264150cc3a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/6600d918-2113-48e1-81f5-1b7a43fefba2-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	1	Never 	Rarely (शायद ही कभी)	No (नहीं)
83	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	A few times a month (महीने में कुछ बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air-conditioned environments (वातानुकूलित वातावरण),Air pollution (वायु प्रदूषण)	26-35	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/1db2336a-dcaf-4092-9604-1716248679c1-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/9b4481d9-7693-40c7-8e61-ab645c1d7e33-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	6	Never 	Several times a week (सप्ताह में कई बार)	No (नहीं)
84	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air-conditioned environments (वातानुकूलित वातावरण)	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/6548c668-777c-428a-a98e-d0268d40bda9-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/a51911ca-394f-43d3-92b6-c11b1aff291b-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप)	10	Never 	Daily (प्रतिदिन)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
85	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल)	A few times a month (महीने में कुछ बार)	Eye gels (आई जेल)	Air-conditioned environments (वातानुकूलित वातावरण)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/b91446cf-27e2-4475-a68f-63d1e63ac21e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/7d513181-840e-46ad-8b80-c307e99ee885-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	6	No	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
86	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	Several times a week (सप्ताह में कई बार)	Eye gels (आई जेल)	Other (अन्य)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/bad53843-842a-4ce2-957c-c6eb3ae0d44e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/d77369d0-3f78-4e24-88c0-644dc77af890-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	6	Never 	Several times a week (सप्ताह में कई बार)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
87	Any other (कोई और)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/e5d4a6d2-71f6-4e79-9944-628df6cf49c3-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/28c72f4e-6b00-4f2a-bef7-98fcd52eee42-AUDIO.m4a	Other (अन्य)	8	Never 	Never (कभी नहीं)	Yes (हाँ)
88	Any other (कोई और)	1st Tier City (बड़ा शहर)	Never (कभी नहीं)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Aging (उम्र बढ़ना)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/0cd1b4fe-8c8b-4d25-aba6-54fbc86d861a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/153d190c-1577-4062-9202-f1281c4fa660-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	3	Never 	A few times a month (महीने में कुछ बार)	No (नहीं)
89	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/241815f6-9914-4a94-8a5e-9eef58d01046-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/d23b9508-2b65-48a2-9bb1-1aca453126c8-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	8	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
90	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	3rd Tier city (कस्बा)	Dry, irritated eyes (सुखी या आंख में जलन होना)	A few times a month (महीने में कुछ बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Contact lens use (चश्मा लगाना)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/7037259d-142f-42bd-9f68-6f310397feb6-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/360dbadc-53f5-4e07-8408-999ecd051cc2-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	6	Maybe 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
91	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	3rd Tier city (कस्बा)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	I don't know (मुझें नहीं पता)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/bdbdb0c0-5937-45f8-8103-d923cae90159-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/aeccdcf0-f79b-4c83-99f3-faa092eda6a5-AUDIO.m4a	Other (अन्य)	6	Never 	Never (कभी नहीं)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
92	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/7ae02af0-391a-4656-9713-48ac7fc4be44-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/eb346c7c-faae-4d43-b416-62677076fbba-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	3	Yes 	A few times a month (महीने में कुछ बार)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
93	Any other (कोई और)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	Several times a week (सप्ताह में कई बार)	Eye gels (आई जेल)	Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना),Contact lens use (चश्मा लगाना)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/e8dbda80-476d-4480-97f4-ee352e40747d-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/7370545f-7d8f-494d-a7e3-39139989d01e-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	6	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
94	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Surgery सर्जरी)	Aging (उम्र बढ़ना)	26-35	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/6e38af0e-aee2-423f-a9af-757f4060d8c7-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/2718ff67-fad3-431f-a213-05ae9b3f2259-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	7	Never 	Never (कभी नहीं)	No (नहीं)
95	Any other (कोई और)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना),I don't know (मुझें नहीं पता)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/2ff5d4f5-b1ff-4fbf-a31a-262470457947-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/b1565fe0-46fd-4357-8d6d-8ac589dd2439-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा)	7	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
